Time,SPACE1-1:PITTSBURGH ALLEGHENY CO AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SPACE1-1:PITTSBURGH ALLEGHENY CO AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SPACE1-1:PITTSBURGH ALLEGHENY CO AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SPACE1-1:PITTSBURGH ALLEGHENY CO AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SPACE2-1:PITTSBURGH ALLEGHENY CO AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SPACE2-1:PITTSBURGH ALLEGHENY CO AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SPACE2-1:PITTSBURGH ALLEGHENY CO AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SPACE2-1:PITTSBURGH ALLEGHENY CO AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SPACE3-1:PITTSBURGH ALLEGHENY CO AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SPACE3-1:PITTSBURGH ALLEGHENY CO AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SPACE3-1:PITTSBURGH ALLEGHENY CO AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SPACE3-1:PITTSBURGH ALLEGHENY CO AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SPACE4-1:PITTSBURGH ALLEGHENY CO AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SPACE4-1:PITTSBURGH ALLEGHENY CO AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SPACE4-1:PITTSBURGH ALLEGHENY CO AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SPACE4-1:PITTSBURGH ALLEGHENY CO AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SPACE5-1:PITTSBURGH ALLEGHENY CO AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SPACE5-1:PITTSBURGH ALLEGHENY CO AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SPACE5-1:PITTSBURGH ALLEGHENY CO AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SPACE5-1:PITTSBURGH ALLEGHENY CO AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,3.381919E+03,0.000000E+00,2.403486E-01,0.000000E+00,1.426887E+03,0.000000E+00,1.014071E-01,0.000000E+00,3.281237E+03,0.000000E+00,2.331933E-01,0.000000E+00,1.426887E+03,0.000000E+00,1.014071E-01,0.000000E+00,2.467616E+03,0.000000E+00,1.753706E-01,0.000000E+00
00:30:00,3.384250E+03,0.000000E+00,2.405143E-01,0.000000E+00,1.427939E+03,0.000000E+00,1.014819E-01,0.000000E+00,3.283526E+03,0.000000E+00,2.333560E-01,0.000000E+00,1.427939E+03,0.000000E+00,1.014819E-01,0.000000E+00,2.471678E+03,0.000000E+00,1.756591E-01,0.000000E+00
00:45:00,3.386351E+03,0.000000E+00,2.406637E-01,0.000000E+00,1.428887E+03,0.000000E+00,1.015493E-01,0.000000E+00,3.285589E+03,0.000000E+00,2.335026E-01,0.000000E+00,1.428887E+03,0.000000E+00,1.015493E-01,0.000000E+00,2.475317E+03,0.000000E+00,1.759175E-01,0.000000E+00
01:00:00,3.388279E+03,0.000000E+00,2.408006E-01,0.000000E+00,1.429755E+03,0.000000E+00,1.016110E-01,0.000000E+00,3.287481E+03,0.000000E+00,2.336370E-01,0.000000E+00,1.429755E+03,0.000000E+00,1.016110E-01,0.000000E+00,2.478649E+03,0.000000E+00,1.761542E-01,0.000000E+00
01:15:00,3.390053E+03,0.000000E+00,2.409267E-01,0.000000E+00,1.430553E+03,0.000000E+00,1.016677E-01,0.000000E+00,3.289221E+03,0.000000E+00,2.337607E-01,0.000000E+00,1.430553E+03,0.000000E+00,1.016677E-01,0.000000E+00,2.481711E+03,0.000000E+00,1.763718E-01,0.000000E+00
01:30:00,3.391690E+03,0.000000E+00,2.410431E-01,0.000000E+00,1.431287E+03,0.000000E+00,1.017198E-01,0.000000E+00,3.290827E+03,0.000000E+00,2.338748E-01,0.000000E+00,1.431287E+03,0.000000E+00,1.017198E-01,0.000000E+00,2.484536E+03,0.000000E+00,1.765725E-01,0.000000E+00
01:45:00,3.393293E+03,0.000000E+00,2.411570E-01,0.000000E+00,1.432004E+03,0.000000E+00,1.017708E-01,0.000000E+00,3.292397E+03,0.000000E+00,2.339864E-01,0.000000E+00,1.432004E+03,0.000000E+00,1.017708E-01,0.000000E+00,2.487314E+03,0.000000E+00,1.767698E-01,0.000000E+00
02:00:00,3.394828E+03,0.000000E+00,2.412661E-01,0.000000E+00,1.432691E+03,0.000000E+00,1.018196E-01,0.000000E+00,3.293901E+03,0.000000E+00,2.340933E-01,0.000000E+00,1.432691E+03,0.000000E+00,1.018196E-01,0.000000E+00,2.489972E+03,0.000000E+00,1.769587E-01,0.000000E+00
02:15:00,3.396294E+03,0.000000E+00,2.413703E-01,0.000000E+00,1.433347E+03,0.000000E+00,1.018663E-01,0.000000E+00,3.295338E+03,0.000000E+00,2.341955E-01,0.000000E+00,1.433347E+03,0.000000E+00,1.018663E-01,0.000000E+00,2.492509E+03,0.000000E+00,1.771390E-01,0.000000E+00
02:30:00,3.397694E+03,0.000000E+00,2.414698E-01,0.000000E+00,1.433974E+03,0.000000E+00,1.019108E-01,0.000000E+00,3.296710E+03,0.000000E+00,2.342929E-01,0.000000E+00,1.433974E+03,0.000000E+00,1.019108E-01,0.000000E+00,2.494927E+03,0.000000E+00,1.773109E-01,0.000000E+00
